match_id,pos_x,pos_y,sortorder,goal_type,elapsed_plus,shoton,elapsed,value,team,n,goal,player2,comment,del,coordinates,id,goals,subtype,type,stats,penalties,event_incident_typefk,player1,owngoals,LeagueName,Season
4009,18,67,1,n,,,35,,Crystal Palace,200,,35345,n,,,3647567,,header,goal,,,406,Brede Hangeland,,England Premier League,2014/2015
4009,21,5,5,n,1,,45,,Arsenal,237,,50047,n,,,3647657,,header,goal,,,406,Laurent Koscielny,,England Premier League,2014/2015
4009,21,2,9,n,2,,90,,Arsenal,248,,,n,,,3648213,,tap_in,goal,,,649,Aaron Ramsey,,England Premier League,2014/2015
4010,32,10,2,n,,,14,,Burnley,212,,24372,n,,,3652629,,shot,goal,,,393,Scott Arfield,,England Premier League,2014/2015
4010,26,64,3,n,,,17,,Chelsea,184,,,n,,,3652637,,loose_ball,goal,,,131,Diego Costa,,England Premier League,2014/2015
4010,19,67,2,n,,,21,,Chelsea,172,,30613,n,,,3652650,,tap_in,goal,,,721,Andre Schuerrle,,England Premier League,2014/2015
4010,20,67,2,n,,,34,,Chelsea,216,,30613,n,,,3652683,,tap_in,goal,,,721,Branislav Ivanovic,,England Premier League,2014/2015
4011,36,62,4,n,,,20,,Everton,234,,,n,,,3645927,,shot,goal,,,80,Aiden McGeady,,England Premier League,2014/2015
4011,23,5,4,n,,,22,,Leicester City,187,,,n,,,3645943,,loose_ball,goal,,,131,Jose Leonardo Ulloa,,England Premier League,2014/2015
4011,25,63,1,n,,,45,,Everton,188,,36012,n,,,3646205,,shot,goal,,,393,Steven Naismith,,England Premier League,2014/2015
4011,16,7,2,n,,,86,,Leicester City,246,,,n,,,3646851,,shot,goal,,,80,,,England Premier League,2014/2015
4012,21,6,1,n,,,23,,Liverpool,244,,156008,n,,,3649433,,shot,goal,,,393,Raheem Sterling,,England Premier League,2014/2015
4012,18,64,4,n,,,56,,Southampton,274,,94267,n,,,3649669,,shot,goal,,,393,Nathaniel Clyne,,England Premier League,2014/2015
4012,21,4,5,n,,,79,,Liverpool,250,,246575,n,,,3649741,,tap_in,goal,,,721,Daniel Sturridge,,England Premier League,2014/2015
4013,26,58,1,n,,,28,,Swansea City,239,,157729,n,,,3645551,,distance,goal,,,407,Sung-Yueng Ki,,England Premier League,2014/2015
4013,21,3,2,n,,,53,,Manchester United,224,,,n,,,3645613,,bicycle_kick,goal,,,167,Wayne Rooney,,England Premier League,2014/2015
4013,24,61,3,n,,,72,,Swansea City,285,,38831,n,,,3645646,,volley,goal,,,411,Gylfi Sigurdsson,,England Premier League,2014/2015
4014,26,64,0,n,,,39,,Manchester City,216,,15403,n,,,3650172,,shot,goal,,,393,David Silva,,England Premier League,2014/2015
4014,27,66,9,n,2,,90,,Manchester City,270,,,n,,,3650766,,shot,goal,,,80,Sergio Aguero,,England Premier League,2014/2015
4015,25,65,1,n,,,52,,Hull City,257,,21864,n,,,3646389,,header,goal,,,406,James Chester,,England Premier League,2014/2015
4015,23,8,0,npm,,,84,,Queens Park Rangers,170,,,npm,,,3646841,,saved_back_into_play,goal,,,348,Charlie Austin,,England Premier League,2014/2015
4016,13,60,0,n,,,50,,Aston Villa,261,,,n,,,3646348,,shot,goal,,,80,Andreas Weimann,,England Premier League,2014/2015
4017,13,56,2,n,,,5,,Sunderland,162,,,n,,,3645771,,distance,goal,,,39,Lee Cattermole,,England Premier League,2014/2015
4017,23,8,2,p,,,42,,West Bromwich Albion,188,,,p,,,3646183,,,goal,,,20,Saido Berahino,,England Premier League,2014/2015
4017,30,6,2,n,,,74,,West Bromwich Albion,222,,25075,n,,,3646679,,tap_in,goal,,,721,Saido Berahino,,England Premier League,2014/2015
4017,27,65,2,n,,,85,,Sunderland,231,,180330,n,,,3646843,,shot,goal,,,393,Sebastian Larsson,,England Premier League,2014/2015
4018,23,8,0,npm,,,30,,West Ham United,51,,,npm,,,3646032,,missed,goal,,,22,Mark Noble,,England Premier League,2014/2015
4018,27,64,9,n,3,,90,,Tottenham Hotspur,286,,194165,n,,,3646939,,shot,goal,,,393,Eric Dier,,England Premier League,2014/2015
4019,23,5,2,n,,,70,,Arsenal,232,,425255,n,,,3896344,,header,goal,,,406,Alexis Sanchez,,England Premier League,2014/2015
4019,25,4,5,n,,,72,,Arsenal,242,,,n,,,3896415,,shot,goal,,,80,Calum Chambers,,England Premier League,2014/2015
4019,27,6,8,n,1,,90,,Arsenal,313,,78513,n,,,3896858,,shot,goal,,,393,Alexis Sanchez,,England Premier League,2014/2015
4020,27,8,1,n,,,16,,Aston Villa,77,,29581,n,,,3904099,,shot,goal,,,393,Andreas Weimann,,England Premier League,2014/2015
4020,28,67,2,n,,,84,,Tottenham Hotspur,325,,174850,n,,,3905338,,volley,goal,,,411,Nacer Chadli,,England Premier League,2014/2015
4020,18,55,0,n,,,90,,Tottenham Hotspur,348,,,n,,,3905472,,direct_freekick,goal,,,130,Harry Kane,,England Premier League,2014/2015
4021,31,6,1,n,,,32,,Chelsea,99,,30613,n,,,3894909,,shot,goal,,,393,Oscar,,England Premier League,2014/2015
4021,23,64,2,n,,,62,,Queens Park Rangers,201,,109638,n,,,3896086,,backheel,goal,,,889,Charlie Austin,,England Premier League,2014/2015
4021,23,8,0,p,,,76,,Chelsea,233,,,p,,,3896456,,,goal,,,20,Eden Hazard,,England Premier League,2014/2015
4022,21,63,3,n,,,31,,Sunderland,86,,180330,n,,,3909624,,header,goal,,,406,Steven Fletcher,,England Premier League,2014/2015
4022,25,2,7,o,,,55,,Sunderland,199,,,o,,,3909859,,,goal,,,115,Wes Brown,,England Premier League,2014/2015
4022,26,56,2,n,,,79,,Sunderland,262,,114218,n,,,3910016,,shot,goal,,,393,Jordi Gomez,,England Premier League,2014/2015
4022,16,62,16,n,5,,90,,Sunderland,318,,113908,n,,,3910089,,shot,goal,,,393,Steven Fletcher,,England Premier League,2014/2015
4024,16,43,1,n,,,3,,Southampton,68,,,n,,,3894212,,distance,goal,,,39,Victor Wanyama,,England Premier League,2014/2015
4025,26,63,2,o,,,47,,Leicester City,269,,,o,,,3895696,,,goal,,,115,Esteban Cambiasso,,England Premier League,2014/2015
4026,18,7,2,n,,,63,,Manchester City,195,,31291,n,,,3902913,,shot,goal,,,393,Sergio Aguero,,England Premier League,2014/2015
4027,20,8,3,n,,,74,,Newcastle United,230,,,n,,,3893568,,shot,goal,,,80,Ayoze Perez,,England Premier League,2014/2015
4028,19,2,4,n,,,33,,Stoke City,141,,,n,,,3894966,,tap_in,goal,,,649,Victor Moses,,England Premier League,2014/2015
4028,25,7,1,n,,,56,,Stoke City,206,,33881,n,,,3895955,,header,goal,,,406,Mame Biram Diouf,,England Premier League,2014/2015
4028,29,65,2,n,,,60,,West Ham United,224,,30892,n,,,3896102,,header,goal,,,406,Enner Valencia,,England Premier League,2014/2015
4028,21,61,4,n,,,73,,West Ham United,274,,195927,n,,,3896452,,shot,goal,,,393,Stewart Downing,,England Premier League,2014/2015
4029,24,7,2,n,,,50,,Burnley,140,,191869,n,,,3923810,,header,goal,,,406,Ashley Barnes,,England Premier League,2014/2015
4030,29,15,0,n,,,9,,Liverpool,31,,246575,n,,,3921692,,deflected,goal,,,414,Emre Can,,England Premier League,2014/2015
4030,26,67,4,n,,,14,,Chelsea,57,,115067,n,,,3921711,,shot,goal,,,393,Gary Cahill,,England Premier League,2014/2015
4030,15,64,1,n,,,67,,Chelsea,235,,,n,,,3921942,,shot,goal,,,80,Diego Costa,,England Premier League,2014/2015
4031,32,15,2,n,,,67,,Manchester United,205,,46509,n,,,3924297,,distance,goal,,,407,Juan Mata,,England Premier League,2014/2015
4032,28,7,1,n,,,21,,Queens Park Rangers,78,,109298,n,,,3925468,,shot,goal,,,393,Charlie Austin,,England Premier League,2014/2015
4032,27,65,2,n,,,32,,Manchester City,128,,156551,n,,,3925557,,shot,goal,,,393,Sergio Aguero,,England Premier League,2014/2015
4032,20,4,1,o,,,76,,Manchester City,276,,,o,,,3926442,,,goal,,,115,Martin Demichelis,,England Premier League,2014/2015
4032,18,64,2,n,,,83,,Manchester City,309,,36615,n,,,3926622,,shot,goal,,,393,Sergio Aguero,,England Premier League,2014/2015
4033,29,9,3,n,,,76,,Southampton,242,,41280,n,,,3924492,,shot,goal,,,393,Shane Long,,England Premier League,2014/2015
4033,26,6,1,n,,,80,,Southampton,253,,166676,n,,,3924575,,shot,goal,,,393,Shane Long,,England Premier League,2014/2015
4034,19,14,0,n,,,67,,Sunderland,198,,,n,,,3931984,,direct_freekick,goal,,,130,Sebastian Larsson,,England Premier League,2014/2015
4034,23,62,0,p,,,76,,Everton,219,,,p,,,3932118,,,goal,,,20,Leighton Baines,,England Premier League,2014/2015
4035,25,64,2,n,,,63,,Arsenal,200,,113836,n,,,3934221,,shot,goal,,,393,Alexis Sanchez,,England Premier League,2014/2015
4035,21,16,0,n,,,75,,Swansea City,244,,,n,,,3934415,,direct_freekick,goal,,,130,Gylfi Sigurdsson,,England Premier League,2014/2015
4035,23,7,1,n,,,78,,Swansea City,252,,52563,n,,,3934482,,header,goal,,,406,Bafetimbi Gomis,,England Premier League,2014/2015
4036,23,54,1,n,,,6,,Stoke City,29,,109621,n,,,3930559,,distance,goal,,,407,Bojan Krkic,,England Premier League,2014/2015
4036,26,66,3,n,,,33,,Stoke City,117,,72735,n,,,3930868,,shot,goal,,,393,Jonathan Walters,,England Premier League,2014/2015
4036,31,3,0,n,,,78,,Tottenham Hotspur,267,,46353,n,,,3932159,,volley,goal,,,411,Nacer Chadli,,England Premier League,2014/2015
4037,19,63,5,n,,,45,,Newcastle United,129,,104482,n,,,3931196,,backheel,goal,,,889,Ayoze Perez,,England Premier League,2014/2015
4037,27,65,3,n,,,62,,Newcastle United,193,,104482,n,,,3931924,,header,goal,,,406,Fabricio Coloccini,,England Premier League,2014/2015
4039,22,66,3,o,,,56,,Arsenal,196,,,o,,,3954207,,,goal,,,115,Kieran Gibbs,,England Premier League,2014/2015
4039,26,63,4,n,,,85,,Manchester United,306,,46509,n,,,3954668,,shot,goal,,,393,Wayne Rooney,,England Premier League,2014/2015
4039,16,11,23,n,5,,90,,Arsenal,355,,24011,n,,,3954851,,shot,goal,,,393,Olivier Giroud,,England Premier League,2014/2015
4040,16,9,1,n,,,29,,Aston Villa,117,,161414,n,,,3962478,,shot,goal,,,393,Gabriel Agbonlahor,,England Premier League,2014/2015
4040,19,60,1,n,,,81,,Southampton,312,,46010,n,,,3962831,,shot,goal,,,393,Nathaniel Clyne,,England Premier League,2014/2015
4041,23,5,1,n,,,11,,Chelsea,152,,128864,n,,,3950399,,shot,goal,,,393,Diego Costa,,England Premier League,2014/2015
4041,18,5,3,n,,,25,,Chelsea,75,,30613,n,,,3950670,,shot,goal,,,393,Eden Hazard,,England Premier League,2014/2015
